Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
18,Minas,Sesi Franca,1,Paranhos,21.4,18,22,0,0,7,8,4,6,3,5,8,0,1,0,1.0,7.0,1,1
18,Minas,Sesi Franca,1,Leandrinho,23.0,14,41,1,7,3,7,5,6,2,3,5,3,1,0,3.0,3.0,1,0
18,Minas,Sesi Franca,1,Wesley,21.6,11,23,0,3,5,6,1,2,1,5,6,0,1,0,1.0,2.0,1,0
18,Minas,Sesi Franca,1,Jefferson,18.1,7,16,1,3,1,2,2,3,0,0,0,2,0,0,2.0,2.0,1,0
18,Minas,Sesi Franca,1,D. Coleman,29.7,7,23,1,5,1,3,2,2,1,2,3,2,1,0,1.0,2.0,2,0
18,Minas,Sesi Franca,1,Leonardo,12.9,6,10,0,0,1,3,4,4,2,2,4,2,0,1,1.0,3.0,1,0
18,Minas,Sesi Franca,1,Gegê,23.4,6,14,2,4,0,1,0,0,2,4,6,8,1,0,3.0,1.0,4,0
18,Minas,Sesi Franca,1,Sam Daniel,15.5,6,18,2,6,0,0,0,0,0,4,4,1,0,0,1.0,0.0,0,0
18,Minas,Sesi Franca,1,Bob,11.4,5,10,1,2,0,1,2,2,2,1,3,0,0,0,4.0,1.0,0,0
18,Minas,Sesi Franca,1,Lucas,16.7,4,7,0,1,1,1,2,2,1,0,1,0,1,0,2.0,1.0,1,0
18,Minas,Sesi Franca,1,Augusto,5.7,2,5,0,1,1,1,0,0,0,0,0,0,0,0,1.0,0.0,0,0
18,Minas,Sesi Franca,1,Gui Carvalho,0.8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,2,0
18,Minas,Sesi Franca,1,Equipe,0.0,86,189,8,32,20,33,22,27,16,27,43,18,6,1,22.0,22.0,15,1
18,Sesi Franca,Minas,2,David Jackson,28.8,23,32,3,5,4,5,6,7,0,3,3,3,0,0,2.0,4.0,3,0
18,Sesi Franca,Minas,2,Cipolini,26.0,21,38,3,8,3,3,6,8,2,2,4,2,1,1,1.0,4.0,1,1
18,Sesi Franca,Minas,2,Lucas Dias,25.2,20,33,2,5,5,7,4,4,1,1,2,2,0,3,3.0,3.0,1,1
18,Sesi Franca,Minas,2,André Goes,19.4,11,19,3,5,1,2,0,0,0,2,2,3,2,0,4.0,0.0,1,0
18,Sesi Franca,Minas,2,Alexey,19.8,10,17,2,3,2,4,0,0,0,1,1,6,1,0,0.0,2.0,1,0
18,Sesi Franca,Minas,2,Elinho,26.4,7,13,0,1,3,4,1,2,0,4,4,8,0,0,2.0,3.0,2,0
18,Sesi Franca,Minas,2,Jimmy,26.4,5,17,1,3,1,4,0,0,2,5,7,1,1,0,4.0,2.0,0,0
18,Sesi Franca,Minas,2,Augusto,5.2,2,4,0,0,1,2,0,0,0,2,2,0,0,0,2.0,0.0,0,1
18,Sesi Franca,Minas,2,Guilherme,4.3,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Sesi Franca,Minas,2,Didi,17.5,2,9,0,1,0,2,2,2,1,2,3,1,1,0,4.0,2.0,1,0
18,Sesi Franca,Minas,2,Márcio,1.3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0,0
18,Sesi Franca,Minas,2,Equipe,0.0,103,186,14,31,21,35,19,23,6,23,29,26,7,4,22.0,20.0,10,3
