Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
18,Joinville   AABJ ,Paulistano,1,Cook,40.2,24,53,2,10,6,8,6,7,2,0,2,6,2,0,1.0,8.0,2,0
18,Joinville   AABJ ,Paulistano,1,Mathias,37.7,16,23,2,3,5,7,0,0,4,2,6,2,1,1,5.0,0.0,4,0
18,Joinville   AABJ ,Paulistano,1,Vezaro,39.8,11,27,3,7,1,3,0,0,3,4,7,0,3,0,3.0,2.0,4,0
18,Joinville   AABJ ,Paulistano,1,Vezarinho,20.8,9,20,0,2,3,5,3,4,2,0,2,3,0,0,2.0,2.0,1,0
18,Joinville   AABJ ,Paulistano,1,J. Socas,34.1,9,30,0,2,3,8,3,8,8,1,9,3,3,0,5.0,6.0,2,0
18,Joinville   AABJ ,Paulistano,1,Starks,29.5,8,35,2,9,1,4,0,0,3,0,3,2,0,0,1.0,2.0,0,0
18,Joinville   AABJ ,Paulistano,1,Rosniak,11.8,7,7,1,1,2,2,0,0,0,1,1,0,0,0,4.0,0.0,0,0
18,Joinville   AABJ ,Paulistano,1,Colimerio,9.6,3,6,1,2,0,0,0,0,1,0,1,0,0,0,2.0,0.0,0,0
18,Joinville   AABJ ,Paulistano,1,J. Nunes,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
18,Joinville   AABJ ,Paulistano,1,Dieguinho,1.4,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0
18,Joinville   AABJ ,Paulistano,1,M. Diniz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Joinville   AABJ ,Paulistano,1,Equipe,0.0,87,204,11,37,21,37,12,19,27,11,38,16,9,1,24.0,20.0,14,0
18,Paulistano,Joinville   AABJ ,2,Léo Meindl,26.6,25,31,1,2,8,9,6,7,7,2,9,3,1,0,4.0,4.0,5,0
18,Paulistano,Joinville   AABJ ,2,Yago,34.9,17,31,3,5,3,7,2,2,3,0,3,3,1,0,0.0,6.0,4,0
18,Paulistano,Joinville   AABJ ,2,Renan,16.7,13,28,1,3,5,9,0,1,4,3,7,0,1,1,2.0,2.0,1,1
18,Paulistano,Joinville   AABJ ,2,Du Sommer,22.9,13,20,0,0,5,8,3,4,3,2,5,0,0,0,4.0,2.0,0,2
18,Paulistano,Joinville   AABJ ,2,Eddy,36.5,10,27,2,7,2,3,0,0,5,2,7,3,1,0,1.0,0.0,4,0
18,Paulistano,Joinville   AABJ ,2,Roquemore,34.9,10,30,2,7,2,3,0,3,0,0,0,5,1,0,1.0,4.0,0,0
18,Paulistano,Joinville   AABJ ,2,Vitão,19.3,5,18,1,4,0,2,2,2,4,2,6,0,1,0,2.0,3.0,3,0
18,Paulistano,Joinville   AABJ ,2,Guilherme,13.3,4,17,0,3,2,3,0,0,2,1,3,2,1,0,4.0,1.0,1,0
18,Paulistano,Joinville   AABJ ,2,Antonio,5.7,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2.0,0.0,0,0
18,Paulistano,Joinville   AABJ ,2,Georginho,13.8,0,7,0,1,0,2,0,0,1,0,1,0,0,0,1.0,1.0,1,0
18,Paulistano,Joinville   AABJ ,2,Beto,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Paulistano,Joinville   AABJ ,2,Equipe,0.0,97,209,10,32,27,46,13,19,32,18,50,16,7,1,21.0,23.0,19,3
