Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
18,São José,Botafogo,1,Schneider,19.4,16,21,2,3,4,5,2,2,2,0,2,1,0,0,4.0,1.0,2,0
18,São José,Botafogo,1,Coimbra,27.9,16,24,0,0,7,11,2,2,0,4,4,2,1,0,4.0,3.0,3,2
18,São José,Botafogo,1,Márcio,30.8,12,23,2,5,2,2,2,4,1,5,6,3,0,0,0.0,2.0,2,0
18,São José,Botafogo,1,Mineiro,10.3,10,14,0,0,4,5,2,4,1,4,5,0,0,0,3.0,3.0,2,0
18,São José,Botafogo,1,Pastor,18.8,9,13,2,3,1,1,1,2,2,1,3,3,1,0,3.0,2.0,0,0
18,São José,Botafogo,1,Douglas Nunes,17.6,6,10,2,2,0,2,0,0,0,1,1,2,0,0,0.0,1.0,1,0
18,São José,Botafogo,1,Pedro,21.7,6,12,0,0,3,6,0,0,0,0,0,5,0,0,2.0,1.0,1,0
18,São José,Botafogo,1,Hélio,11.5,4,4,0,0,2,2,0,0,0,3,3,1,1,0,0.0,0.0,1,0
18,São José,Botafogo,1,Sahdi,30.7,2,28,0,6,1,5,0,0,1,1,2,6,2,0,5.0,6.0,1,0
18,São José,Botafogo,1,Dedé,11.4,0,8,0,2,0,1,0,0,0,2,2,0,0,0,3.0,0.0,0,0
18,São José,Botafogo,1,Conceição,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,São José,Botafogo,1,Eugeniusz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,São José,Botafogo,1,Equipe,0.0,81,157,8,21,24,40,9,14,10,22,32,23,5,0,24.0,19.0,14,2
18,Botafogo,São José,2,Jamaal,34.1,20,29,2,5,4,4,6,6,0,2,2,3,0,0,3.0,9.0,2,0
18,Botafogo,São José,2,Cauê,39.1,17,28,2,4,3,5,5,6,1,2,3,3,1,0,0.0,5.0,2,0
18,Botafogo,São José,2,Coelho,28.5,14,21,1,2,4,5,3,5,1,3,4,4,3,0,2.0,4.0,3,0
18,Botafogo,São José,2,Arthur,34.0,12,25,1,3,4,7,1,2,0,1,1,4,2,0,2.0,1.0,1,0
18,Botafogo,São José,2,Diego,12.9,9,16,1,2,1,1,4,8,1,2,3,0,1,2,5.0,4.0,1,0
18,Botafogo,São José,2,Ansaloni,27.4,9,18,1,2,2,5,2,2,0,6,6,1,2,0,2.0,1.0,1,0
18,Botafogo,São José,2,Maique,8.7,4,4,0,0,2,2,0,0,0,3,3,0,0,2,3.0,0.0,0,1
18,Botafogo,São José,2,Guga,10.4,2,4,0,0,1,2,0,0,0,0,0,1,1,0,1.0,0.0,0,0
18,Botafogo,São José,2,Fabrício,2.0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Botafogo,São José,2,Jackson,3.2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0
18,Botafogo,São José,2,Pedro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Botafogo,São José,2,Equipe,0.0,87,150,8,19,21,32,21,29,4,22,26,16,10,4,19.0,24.0,11,1
