Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
18,São José,Minas,1,Márcio,31.0,15,36,2,7,2,5,5,5,4,1,5,0,3,0,5.0,5.0,3,0
18,São José,Minas,1,Pastor,20.2,13,24,1,3,4,6,2,3,5,2,7,1,1,0,1.0,3.0,1,0
18,São José,Minas,1,Douglas Nunes,32.1,12,31,0,5,6,8,0,0,3,5,8,1,0,0,2.0,1.0,2,1
18,São José,Minas,1,Schneider,16.3,8,18,2,4,1,3,0,0,1,0,1,1,0,0,5.0,0.0,0,0
18,São José,Minas,1,Hélio,14.8,5,10,1,2,0,1,2,2,2,0,2,2,0,0,2.0,2.0,2,0
18,São José,Minas,1,Sahdi,25.4,4,19,0,3,0,3,4,4,1,0,1,9,3,0,1.0,4.0,2,0
18,São José,Minas,1,Coimbra,14.2,2,9,0,1,0,1,2,2,1,3,4,1,0,0,3.0,2.0,3,0
18,São José,Minas,1,Mineiro,9.5,2,8,0,0,1,4,0,0,0,3,3,0,0,0,3.0,1.0,1,0
18,São José,Minas,1,Pedro,15.6,1,19,0,3,0,4,1,2,0,1,1,0,0,0,0.0,1.0,2,0
18,São José,Minas,1,Guirro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,São José,Minas,1,Panunzio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,São José,Minas,1,Johnson,21.0,0,18,0,4,0,2,0,2,2,0,2,2,1,3,2.0,3.0,2,0
18,São José,Minas,1,Equipe,0.0,62,192,6,32,14,37,16,20,23,20,43,17,8,3,24.0,22.0,19,1
18,Minas,São José,2,Wesley,30.7,18,26,1,3,7,8,1,1,9,0,9,1,1,0,2.0,1.0,4,2
18,Minas,São José,2,Gegê,32.5,15,20,3,4,0,1,6,6,2,0,2,12,1,0,2.0,4.0,2,0
18,Minas,São José,2,Jefferson,31.3,13,29,1,5,3,5,4,4,2,0,2,1,2,0,3.0,3.0,2,0
18,Minas,São José,2,Paranhos,17.8,10,16,0,0,4,7,2,2,2,1,3,0,0,0,3.0,4.0,2,0
18,Minas,São José,2,D. Coleman,29.7,8,20,0,2,4,6,0,2,4,0,4,2,1,0,4.0,3.0,4,0
18,Minas,São José,2,Bob,20.9,4,16,0,2,1,4,2,2,1,2,3,0,0,0,4.0,1.0,3,1
18,Minas,São José,2,Leonardo,17.2,3,12,0,0,1,4,1,4,6,2,8,1,2,3,2.0,3.0,2,0
18,Minas,São José,2,Augusto,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Minas,São José,2,Sam Daniel,8.3,0,9,0,3,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0
18,Minas,São José,2,Lucas,10.9,0,0,0,0,0,0,0,0,2,0,2,0,1,0,2.0,2.0,0,0
18,Minas,São José,2,Equipe,0.0,71,148,5,19,20,35,16,21,32,7,39,17,8,3,23.0,21.0,22,3
