Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
18,Corinthians,Brasília,1,Fuller,38.2,17,46,2,9,0,3,11,13,5,1,6,1,1,0,1.0,7.0,1,0
18,Corinthians,Brasília,1,Giovannoni,35.9,17,35,1,3,6,12,2,2,6,2,8,5,1,0,4.0,4.0,2,1
18,Corinthians,Brasília,1,Humberto,36.5,14,19,0,0,6,8,2,3,3,2,5,3,0,4,4.0,3.0,1,1
18,Corinthians,Brasília,1,Parodi,36.0,13,30,0,4,3,5,7,8,4,0,4,9,4,0,1.0,5.0,7,0
18,Corinthians,Brasília,1,Teichmann,28.5,11,19,0,0,4,6,3,7,7,1,8,3,5,1,3.0,5.0,1,1
18,Corinthians,Brasília,1,Abner,12.9,6,13,0,0,1,3,4,7,3,3,6,0,0,1,4.0,4.0,1,0
18,Corinthians,Brasília,1,Aguiar,4.8,3,8,0,1,1,2,1,1,0,0,0,0,0,0,0.0,0.0,1,0
18,Corinthians,Brasília,1,Shilton,3.6,2,2,0,0,1,1,0,0,0,1,1,0,0,0,1.0,0.0,0,0
18,Corinthians,Brasília,1,Anderson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Corinthians,Brasília,1,Douglas Santos,9.1,0,4,0,0,0,2,0,0,1,1,2,0,0,0,2.0,0.0,2,0
18,Corinthians,Brasília,1,Gustavinho,9.1,0,5,0,1,0,1,0,0,3,1,4,0,0,0,3.0,0.0,0,0
18,Corinthians,Brasília,1,Gui Bento,10.5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0.0,0,0
18,Corinthians,Brasília,1,Equipe,0.0,83,183,3,18,22,44,30,41,34,12,46,21,11,6,26.0,28.0,18,3
18,Brasília,Corinthians,2,Graterol,29.5,18,27,0,1,6,9,6,6,8,6,14,1,1,0,4.0,4.0,3,0
18,Brasília,Corinthians,2,Zach Graham,43.0,18,51,3,10,1,5,7,11,2,1,3,3,0,0,2.0,8.0,4,0
18,Brasília,Corinthians,2,Rafa Moreira,12.5,7,16,1,4,2,2,0,0,1,0,1,1,0,0,4.0,1.0,1,0
18,Brasília,Corinthians,2,Ronald,10.6,6,10,0,0,2,4,2,2,5,4,9,0,1,0,5.0,2.0,2,1
18,Brasília,Corinthians,2,Pedro,21.6,6,28,2,6,0,5,0,0,4,0,4,0,3,0,3.0,1.0,1,0
18,Brasília,Corinthians,2,Arthur,26.7,6,15,1,3,0,1,3,4,2,0,2,3,1,0,2.0,3.0,2,0
18,Brasília,Corinthians,2,Gui Santos,17.1,5,10,0,1,2,3,1,1,2,2,4,1,2,0,5.0,1.0,0,1
18,Brasília,Corinthians,2,Nezinho,32.4,4,29,0,5,2,7,0,0,1,1,2,5,1,0,1.0,0.0,2,0
18,Brasília,Corinthians,2,Pedrinho Rava,19.7,4,17,0,1,1,6,2,2,2,1,3,3,0,0,3.0,4.0,1,0
18,Brasília,Corinthians,2,Andrezão,11.9,0,5,0,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0,0
18,Brasília,Corinthians,2,Marcelão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Brasília,Corinthians,2,Von Haydin,0.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0
18,Brasília,Corinthians,2,Equipe,0.0,74,208,7,32,16,43,21,26,28,18,46,17,9,0,31.0,25.0,17,2
