Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#10,Alex,31.5,3,0,0,3.0,2.0,0,0,15,33,4,5,1,8,1,2,2,2,4
#34,Kurtz,22.4,0,0,1,3.0,3.0,1,0,11,22,0,0,4,9,3,4,8,2,10
#3,Brite,31.5,3,1,0,1.0,3.0,0,0,9,31,1,5,3,8,0,0,3,1,4
#21,Cobb,8.5,0,0,0,0.0,1.0,1,0,6,8,2,2,0,1,0,0,3,0,3
#1,Feliciano,16.6,0,0,0,4.0,4.0,1,1,3,14,0,1,1,4,1,3,7,1,8
#17,Rashaun,31.1,0,2,0,0.0,3.0,1,0,3,25,1,5,0,4,0,2,2,1,3
#33,Felipe,28.1,2,1,0,1.0,3.0,3,0,3,15,0,3,0,1,3,4,1,2,3
#22,Paulo,9.5,0,0,0,0.0,0.0,1,0,2,9,0,1,1,3,0,0,1,1,2
#14,Sualisson,16.1,2,0,0,3.0,0.0,1,0,2,10,0,2,1,2,0,0,1,0,1
#99,Lassance,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#7,Gabriel,3.7,0,0,0,0.0,0.0,0,0,0,5,0,1,0,1,0,0,0,0,0
#5,Léo W.,1.0,0,0,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,10,4,1,16.0,19.0,12,1,54,172,8,25,11,41,8,15,30,11,41
#11,Marquinhos,24.5,2,0,0,2.0,7.0,1,0,21,34,2,4,4,6,7,10,4,0,4
#7,Jhonatan,20.4,0,0,0,2.0,1.0,1,0,15,23,3,5,3,4,0,0,2,0,2
#17,Varejão,17.6,0,0,1,3.0,1.0,3,0,12,20,0,0,6,10,0,0,5,6,11
#25,Nesbitt,19.8,0,0,0,2.0,4.0,0,0,7,15,1,2,2,4,0,1,4,4,8
#16,Olivinha,19.9,0,1,0,2.0,0.0,0,0,6,19,0,3,3,5,0,0,6,2,8
#6,Balbi,24.3,6,0,0,3.0,1.0,0,0,6,23,1,5,1,3,1,2,4,0,4
#12,Mineiro,18.7,2,0,0,2.0,1.0,1,0,2,6,0,0,1,3,0,0,3,1,4
#9,Deryk,19.2,4,1,0,1.0,1.0,1,0,2,23,0,5,0,3,2,2,2,0,2
#5,Davi,25.2,3,1,0,1.0,0.0,3,0,2,9,0,1,1,3,0,0,3,2,5
#0,João Vitor,2.2,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8,Crescenzi,8.3,0,0,0,0.0,0.0,1,0,0,10,0,2,0,2,0,0,2,0,2
#25,Camargo,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,17,3,1,19.0,16.0,11,0,73,182,7,27,21,43,10,15,39,15,54
