Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
18,Flamengo,Corinthians,1,Olivinha,21.8,17,32,1,5,7,8,0,1,4,2,6,2,4,0,1.0,1.0,1,0
18,Flamengo,Corinthians,1,Balbi,27.9,16,28,2,5,3,4,4,5,1,3,4,4,2,0,4.0,5.0,2,0
18,Flamengo,Corinthians,1,Marquinhos,30.0,15,33,0,6,5,5,5,5,1,5,6,4,3,0,0.0,4.0,4,3
18,Flamengo,Corinthians,1,Jhonatan,16.1,9,17,3,5,0,1,0,0,0,1,1,1,0,0,4.0,0.0,1,0
18,Flamengo,Corinthians,1,Davi,24.0,9,14,1,2,2,3,2,2,0,2,2,1,0,0,1.0,1.0,0,0
18,Flamengo,Corinthians,1,Varejão,24.0,9,21,0,1,4,8,1,2,4,8,12,1,1,1,2.0,4.0,2,0
18,Flamengo,Corinthians,1,Nesbitt,18.2,7,11,2,2,0,2,1,1,0,3,3,1,1,0,0.0,1.0,0,0
18,Flamengo,Corinthians,1,Deryk,20.1,7,20,1,4,2,4,0,0,1,1,2,4,1,0,2.0,0.0,2,0
18,Flamengo,Corinthians,1,Mineiro,16.1,2,7,0,1,1,2,0,0,0,3,3,0,0,0,0.0,1.0,0,0
18,Flamengo,Corinthians,1,Crescenzi,1.9,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,1,0
18,Flamengo,Corinthians,1,Matheus Weber,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Flamengo,Corinthians,1,Ruan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Flamengo,Corinthians,1,Equipe,0.0,91,186,10,32,24,37,13,16,12,31,43,18,12,1,14.0,17.0,13,3
18,Corinthians,Flamengo,2,Parodi,32.7,13,23,3,5,1,3,2,2,0,5,5,7,0,0,4.0,3.0,6,0
18,Corinthians,Flamengo,2,Giovannoni,29.5,12,29,0,4,6,8,0,1,1,5,6,2,3,0,2.0,2.0,3,0
18,Corinthians,Flamengo,2,Fuller,28.6,12,34,2,6,2,7,2,2,1,2,3,0,1,0,1.0,1.0,2,0
18,Corinthians,Flamengo,2,Humberto,24.7,9,24,2,4,0,4,3,4,3,0,3,1,3,0,5.0,2.0,0,0
18,Corinthians,Flamengo,2,Gustavinho,13.6,8,20,2,4,0,3,2,2,1,2,3,2,0,0,1.0,2.0,1,0
18,Corinthians,Flamengo,2,Teichmann,26.5,6,8,0,0,2,3,2,2,2,7,9,5,1,0,4.0,2.0,2,0
18,Corinthians,Flamengo,2,Gui Bento,15.4,3,9,1,3,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1,0
18,Corinthians,Flamengo,2,Douglas Santos,8.6,2,14,0,2,1,4,0,0,1,0,1,0,0,1,0.0,0.0,0,0
18,Corinthians,Flamengo,2,Abner,11.2,0,8,0,0,0,4,0,0,2,2,4,0,0,0,1.0,0.0,1,0
18,Corinthians,Flamengo,2,Nicolas Ronsini,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0
18,Corinthians,Flamengo,2,Aguiar,4.9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Corinthians,Flamengo,2,Shilton,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0
18,Corinthians,Flamengo,2,Equipe,0.0,65,172,10,29,12,36,11,13,13,25,38,17,9,1,20.0,14.0,18,0
