Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
18,Sesi Franca,Flamengo,1,David Jackson,35.6,18,36,1,4,5,9,5,6,2,6,8,2,3,0,2.0,6.0,2,0
18,Sesi Franca,Flamengo,1,Didi,12.0,12,16,0,0,3,4,6,8,2,0,2,1,0,0,2.0,4.0,1,0
18,Sesi Franca,Flamengo,1,Hettsheimeir,21.0,9,25,1,5,2,4,2,2,1,3,4,0,0,0,3.0,2.0,1,0
18,Sesi Franca,Flamengo,1,Cipolini,16.9,9,12,1,2,1,1,4,4,0,1,1,0,0,0,2.0,3.0,0,1
18,Sesi Franca,Flamengo,1,Jimmy,32.4,7,17,1,3,2,3,0,0,0,5,5,0,1,0,4.0,0.0,2,0
18,Sesi Franca,Flamengo,1,Lucas Dias,29.4,7,29,0,3,2,8,3,4,1,5,6,0,2,0,2.0,6.0,0,1
18,Sesi Franca,Flamengo,1,André Goes,12.8,5,12,0,2,2,2,1,2,0,0,0,0,0,1,2.0,2.0,0,0
18,Sesi Franca,Flamengo,1,Alexey,19.8,5,14,1,2,1,4,0,0,1,0,1,3,0,0,2.0,0.0,2,0
18,Sesi Franca,Flamengo,1,Augusto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Sesi Franca,Flamengo,1,Adriano Big,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Sesi Franca,Flamengo,1,Guilherme,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Sesi Franca,Flamengo,1,Elinho,20.2,0,8,0,2,0,1,0,0,0,2,2,5,0,0,2.0,0.0,0,0
18,Sesi Franca,Flamengo,1,Equipe,0.0,72,169,5,23,18,36,21,26,9,25,34,11,6,1,21.0,23.0,8,2
18,Flamengo,Sesi Franca,2,Marquinhos,35.8,18,29,2,3,4,8,4,4,0,4,4,0,0,0,1.0,2.0,0,0
18,Flamengo,Sesi Franca,2,Balbi,33.2,15,39,1,7,4,7,4,4,0,6,6,6,1,0,3.0,6.0,2,0
18,Flamengo,Sesi Franca,2,Olivinha,20.6,12,26,1,2,2,7,5,6,2,8,10,1,1,0,3.0,3.0,0,0
18,Flamengo,Sesi Franca,2,Deryk,16.5,12,18,2,4,3,3,0,0,0,0,0,1,2,0,2.0,0.0,1,0
18,Flamengo,Sesi Franca,2,Varejão,21.8,7,22,1,3,2,6,0,1,3,3,6,0,1,0,3.0,5.0,2,0
18,Flamengo,Sesi Franca,2,Nesbitt,12.5,6,6,0,0,1,1,4,4,0,1,1,0,0,0,0.0,2.0,0,0
18,Flamengo,Sesi Franca,2,Mineiro,20.2,6,18,1,4,1,2,1,2,1,2,3,1,0,2,4.0,1.0,1,1
18,Flamengo,Sesi Franca,2,Crescenzi,15.1,3,5,1,1,0,1,0,0,1,0,1,1,0,0,2.0,0.0,2,0
18,Flamengo,Sesi Franca,2,Davi,16.4,2,5,0,1,1,1,0,0,0,2,2,0,0,0,4.0,1.0,1,0
18,Flamengo,Sesi Franca,2,Matheus Weber,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Flamengo,Sesi Franca,2,Jhonatan,8.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2.0,0.0,0,0
18,Flamengo,Sesi Franca,2,Ruan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Flamengo,Sesi Franca,2,Equipe,0.0,81,168,9,25,18,36,18,21,9,29,38,11,5,2,24.0,20.0,11,1
