Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
18,Vasco da Gama,Corinthians,1,Gemerson,39.7,21,41,1,4,7,12,4,5,9,1,10,2,1,0,2.0,3.0,5,0
18,Vasco da Gama,Corinthians,1,Okorie,36.5,18,38,0,3,4,9,10,11,2,0,2,1,3,0,5.0,8.0,1,1
18,Vasco da Gama,Corinthians,1,Lucão,25.6,13,18,0,0,6,7,1,4,9,3,12,1,0,1,3.0,2.0,1,1
18,Vasco da Gama,Corinthians,1,Duda,31.1,8,29,2,7,1,4,0,0,3,0,3,2,0,0,1.0,3.0,3,0
18,Vasco da Gama,Corinthians,1,Vithinho,27.5,7,20,1,2,1,6,2,2,2,0,2,7,1,0,2.0,4.0,4,0
18,Vasco da Gama,Corinthians,1,Lupa,14.2,7,12,0,0,3,5,1,2,2,4,6,0,0,0,3.0,2.0,0,0
18,Vasco da Gama,Corinthians,1,Alexei,20.6,4,4,0,0,1,1,2,2,3,0,3,2,0,0,4.0,1.0,0,0
18,Vasco da Gama,Corinthians,1,Gabriel,0.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0,0
18,Vasco da Gama,Corinthians,1,Rafael,4.4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2.0,0.0,0,0
18,Vasco da Gama,Corinthians,1,Caio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Vasco da Gama,Corinthians,1,Armani,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Vasco da Gama,Corinthians,1,L. Felipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Vasco da Gama,Corinthians,1,Equipe,0.0,78,162,4,16,23,44,20,26,31,8,39,17,8,1,22.0,23.0,14,2
18,Corinthians,Vasco da Gama,2,Fuller,35.0,19,49,2,9,4,8,5,6,2,0,2,3,0,0,2.0,3.0,3,0
18,Corinthians,Vasco da Gama,2,Aguiar,23.5,10,26,1,4,2,5,3,4,1,0,1,2,0,0,4.0,4.0,4,0
18,Corinthians,Vasco da Gama,2,Giovannoni,32.2,8,31,2,7,1,5,0,0,4,1,5,3,2,0,0.0,2.0,1,0
18,Corinthians,Vasco da Gama,2,Shilton,19.9,8,10,0,0,4,5,0,0,2,2,4,1,0,1,3.0,3.0,0,0
18,Corinthians,Vasco da Gama,2,Gustavinho,24.0,8,21,1,2,2,7,1,1,5,1,6,3,2,0,4.0,1.0,4,0
18,Corinthians,Vasco da Gama,2,Teichmann,16.9,7,8,0,0,3,3,1,2,2,0,2,2,0,0,1.0,1.0,0,0
18,Corinthians,Vasco da Gama,2,Humberto,20.3,5,13,0,1,1,2,3,6,1,4,5,0,0,0,5.0,2.0,4,0
18,Corinthians,Vasco da Gama,2,Douglas Santos,8.8,2,6,0,0,1,3,0,0,1,2,3,0,1,0,2.0,0.0,1,0
18,Corinthians,Vasco da Gama,2,Gui Bento,6.8,1,4,0,0,0,1,1,2,0,1,1,0,0,0,2.0,1.0,0,0
18,Corinthians,Vasco da Gama,2,Abner,3.3,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1.0,0.0,0,0
18,Corinthians,Vasco da Gama,2,Nicolas Ronsini,9.3,0,4,0,0,0,2,0,0,4,0,4,0,0,0,1.0,2.0,2,0
18,Corinthians,Vasco da Gama,2,Equipe,0.0,68,174,6,23,18,42,14,21,26,12,38,14,5,1,25.0,19.0,19,0
