Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
18,Paulistano,São José,1,Léo Meindl,24.6,18,32,0,4,7,7,4,6,3,1,4,0,0,1,5.0,4.0,1,0
18,Paulistano,São José,1,Georginho,28.3,15,27,3,6,2,3,2,3,1,0,1,3,1,1,2.0,1.0,0,1
18,Paulistano,São José,1,Guilherme,22.1,13,24,3,4,2,6,0,0,2,4,6,1,0,0,1.0,2.0,1,0
18,Paulistano,São José,1,Yago,22.0,10,28,2,6,0,3,4,4,3,1,4,6,3,0,2.0,4.0,5,0
18,Paulistano,São José,1,Roquemore,28.8,9,26,0,4,1,3,7,8,4,0,4,6,3,1,0.0,5.0,1,1
18,Paulistano,São José,1,Antonio,17.9,9,17,0,1,3,5,3,4,3,3,6,0,0,0,0.0,3.0,0,0
18,Paulistano,São José,1,Du Sommer,14.5,7,14,0,0,3,5,1,4,2,2,4,1,0,1,4.0,5.0,0,2
18,Paulistano,São José,1,Renan,15.6,5,18,0,3,2,4,1,1,1,3,4,0,0,0,2.0,2.0,1,0
18,Paulistano,São José,1,Eddy,15.8,2,11,0,3,1,1,0,0,1,1,2,1,1,0,1.0,1.0,2,1
18,Paulistano,São José,1,Danilo,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
18,Paulistano,São José,1,Vitão,5.3,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1.0,0.0,0,0
18,Paulistano,São José,1,Dikembe,3.4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,0,0
18,Paulistano,São José,1,Equipe,0.0,88,199,8,31,21,38,22,30,23,20,43,19,8,4,20.0,27.0,13,5
18,São José,Paulistano,2,Douglas Nunes,32.2,18,28,3,5,3,4,3,3,2,1,3,1,0,0,3.0,2.0,1,1
18,São José,Paulistano,2,Pedro,18.7,12,20,2,4,3,4,0,0,2,1,3,0,1,1,4.0,2.0,2,0
18,São José,Paulistano,2,Hélio,20.8,10,14,1,2,3,3,1,2,3,1,4,5,1,0,4.0,1.0,3,0
18,São José,Paulistano,2,Sahdi,23.3,10,18,0,2,1,2,8,8,1,0,1,9,2,0,2.0,5.0,2,0
18,São José,Paulistano,2,Johnson,16.4,8,16,0,2,4,5,0,0,2,0,2,1,1,0,4.0,0.0,1,0
18,São José,Paulistano,2,Márcio,31.3,7,26,1,6,1,3,2,2,5,0,5,1,1,1,5.0,3.0,2,0
18,São José,Paulistano,2,Coimbra,17.5,5,9,0,0,2,4,1,1,3,1,4,0,1,0,2.0,2.0,1,0
18,São José,Paulistano,2,Mineiro,12.8,5,10,0,0,2,4,1,2,2,2,4,0,0,0,3.0,3.0,4,0
18,São José,Paulistano,2,Schneider,18.9,4,21,0,3,2,6,0,0,2,0,2,0,0,0,0.0,1.0,1,0
18,São José,Paulistano,2,Pastor,8.2,3,4,0,0,1,1,1,2,1,0,1,1,0,0,1.0,1.0,0,0
18,São José,Paulistano,2,Panunzio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,São José,Paulistano,2,Equipe,0.0,82,166,7,24,22,36,17,20,24,10,34,18,7,2,28.0,20.0,17,1
