Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
18,Pinheiros,Sesi Franca,1,Bennett,31.7,21,37,1,4,8,11,2,3,1,0,1,3,2,0,1.0,3.0,1,0
18,Pinheiros,Sesi Franca,1,Betinho,22.7,19,30,3,6,4,5,2,2,1,0,1,1,0,0,3.0,5.0,0,0
18,Pinheiros,Sesi Franca,1,Isaac,21.2,14,27,2,5,3,5,2,2,0,1,1,1,0,0,3.0,2.0,0,0
18,Pinheiros,Sesi Franca,1,Ruivo,22.4,13,26,3,6,2,4,0,0,4,0,4,7,1,0,0.0,0.0,0,0
18,Pinheiros,Sesi Franca,1,Ware,18.9,8,13,2,3,1,2,0,0,4,0,4,0,0,0,5.0,0.0,1,0
18,Pinheiros,Sesi Franca,1,Renato,23.4,7,18,1,2,2,6,0,0,3,1,4,0,2,0,3.0,1.0,0,0
18,Pinheiros,Sesi Franca,1,Toledo,28.5,6,10,0,0,3,5,0,0,6,3,9,2,1,0,2.0,1.0,1,0
18,Pinheiros,Sesi Franca,1,Dawkins,19.5,3,19,0,3,0,3,3,4,0,0,0,1,2,0,0.0,3.0,0,0
18,Pinheiros,Sesi Franca,1,Gabriel,3.6,0,3,0,1,0,0,0,0,1,0,1,0,0,0,2.0,0.0,1,0
18,Pinheiros,Sesi Franca,1,Sena,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Pinheiros,Sesi Franca,1,Mamedes,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Pinheiros,Sesi Franca,1,Maicon,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Pinheiros,Sesi Franca,1,Equipe,0.0,91,183,12,30,23,41,9,11,21,6,27,15,8,0,19.0,15.0,4,0
18,Sesi Franca,Pinheiros,2,Cipolini,23.7,17,17,0,0,6,6,5,5,5,1,6,2,0,0,3.0,5.0,0,3
18,Sesi Franca,Pinheiros,2,Elinho,28.7,14,19,2,3,4,5,0,0,5,0,5,4,0,0,1.0,1.0,2,0
18,Sesi Franca,Pinheiros,2,David Jackson,27.3,11,33,0,5,3,6,5,6,3,0,3,2,1,1,0.0,4.0,1,0
18,Sesi Franca,Pinheiros,2,Lucas Dias,24.3,8,32,0,6,4,7,0,0,3,2,5,0,1,0,3.0,2.0,2,0
18,Sesi Franca,Pinheiros,2,Jimmy,26.4,7,9,1,1,2,3,0,0,2,0,2,1,0,0,4.0,0.0,3,0
18,Sesi Franca,Pinheiros,2,Alexey,13.2,7,13,1,1,2,5,0,0,0,3,3,1,1,0,1.0,0.0,0,0
18,Sesi Franca,Pinheiros,2,Didi,23.0,6,10,0,0,3,5,0,0,3,1,4,0,0,0,1.0,1.0,2,1
18,Sesi Franca,Pinheiros,2,Hettsheimeir,14.2,4,12,0,2,1,2,2,2,2,0,2,1,0,0,3.0,2.0,3,0
18,Sesi Franca,Pinheiros,2,André Goes,17.8,3,9,1,3,0,0,0,0,2,1,3,5,0,0,1.0,3.0,1,0
18,Sesi Franca,Pinheiros,2,Cassiano,1.4,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0.0,1.0,0,0
18,Sesi Franca,Pinheiros,2,Augusto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Sesi Franca,Pinheiros,2,Guilherme,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Sesi Franca,Pinheiros,2,Equipe,0.0,79,156,5,21,25,39,14,15,30,8,38,16,3,1,17.0,19.0,16,4
