Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
19,Pinheiros,Botafogo,1,Betinho,33.3,24,40,4,7,3,6,6,7,1,2,3,3,1,0,4.0,8.0,3,0
19,Pinheiros,Botafogo,1,Dawkins,36.3,18,29,5,7,0,2,3,4,0,3,3,9,3,0,4.0,2.0,1,0
19,Pinheiros,Botafogo,1,C. Torres,21.9,14,23,3,4,2,3,1,5,0,1,1,1,1,0,4.0,4.0,0,0
19,Pinheiros,Botafogo,1,Toledo,29.1,10,18,0,0,4,7,2,2,4,5,9,2,2,0,3.0,5.0,3,0
19,Pinheiros,Botafogo,1,Bennett,34.0,10,27,0,3,5,9,0,0,0,2,2,5,0,0,2.0,0.0,0,0
19,Pinheiros,Botafogo,1,Ware,18.8,7,12,1,2,2,3,0,0,0,5,5,2,0,0,3.0,0.0,0,0
19,Pinheiros,Botafogo,1,L. Cauê,9.8,7,10,0,0,2,2,3,6,0,1,1,0,0,0,2.0,4.0,0,0
19,Pinheiros,Botafogo,1,Scaglia,12.2,2,8,0,2,1,1,0,0,1,0,1,1,0,0,1.0,1.0,1,0
19,Pinheiros,Botafogo,1,Isaac,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Pinheiros,Botafogo,1,G. Campos,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Pinheiros,Botafogo,1,D. Souza,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Pinheiros,Botafogo,1,Buffat,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0
19,Pinheiros,Botafogo,1,Equipe,0.0,92,167,13,25,19,33,15,24,6,21,27,23,7,0,23.0,24.0,9,0
19,Botafogo,Pinheiros,2,Arthur,38.2,24,35,4,7,3,4,6,6,0,5,5,6,3,0,3.0,3.0,1,0
19,Botafogo,Pinheiros,2,Lucas,28.3,23,38,3,5,5,8,4,7,1,3,4,2,0,0,5.0,6.0,1,1
19,Botafogo,Pinheiros,2,Coelho,34.0,19,27,3,5,2,3,6,6,0,2,2,8,1,0,2.0,4.0,3,0
19,Botafogo,Pinheiros,2,Jamaal,29.2,11,23,3,7,1,1,0,0,0,2,2,8,0,0,4.0,6.0,1,0
19,Botafogo,Pinheiros,2,Diego,13.6,7,7,1,1,1,1,2,2,0,3,3,1,0,0,2.0,1.0,0,0
19,Botafogo,Pinheiros,2,Paulinho,13.7,5,8,1,2,0,0,2,2,1,1,2,1,0,0,3.0,1.0,3,0
19,Botafogo,Pinheiros,2,Du Sommer,22.7,4,10,0,2,2,2,0,0,0,6,6,2,1,0,3.0,1.0,2,1
19,Botafogo,Pinheiros,2,Mogi,13.9,3,11,1,3,0,0,0,2,0,2,2,1,0,0,0.0,1.0,0,0
19,Botafogo,Pinheiros,2,Freddie,4.2,2,8,0,2,1,1,0,0,0,1,1,0,0,0,2.0,0.0,0,1
19,Botafogo,Pinheiros,2,Jackson,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Botafogo,Pinheiros,2,Cauê,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Botafogo,Pinheiros,2,Wesley,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Botafogo,Pinheiros,2,Equipe,0.0,98,167,16,34,15,20,20,25,2,26,28,29,5,0,24.0,23.0,11,3
