Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
19,Minas,Brasília,1,Alex,22.9,18,33,3,7,3,4,3,4,2,1,3,5,1,0,1.0,1.0,1,0
19,Minas,Brasília,1,Scott,23.8,14,17,0,0,6,7,2,3,9,3,12,1,2,0,2.0,2.0,0,2
19,Minas,Brasília,1,Jackson Jr,14.7,13,23,3,5,1,3,2,2,2,0,2,0,2,0,5.0,2.0,1,0
19,Minas,Brasília,1,Tyrone,19.9,12,23,0,2,6,8,0,1,4,0,4,3,2,3,1.0,3.0,3,3
19,Minas,Brasília,1,Deodato,32.0,11,30,3,8,1,3,0,0,2,1,3,3,0,0,1.0,0.0,2,1
19,Minas,Brasília,1,Black,10.7,9,16,1,2,3,5,0,0,1,1,2,0,0,0,5.0,1.0,2,0
19,Minas,Brasília,1,Shilton,19.1,6,11,0,0,3,5,0,1,4,1,5,1,1,0,1.0,1.0,1,1
19,Minas,Brasília,1,Alexei,23.5,4,17,0,1,2,7,0,0,3,1,4,1,0,0,5.0,2.0,2,0
19,Minas,Brasília,1,Davi,26.3,3,5,1,1,0,1,0,0,0,0,0,4,1,0,2.0,2.0,2,0
19,Minas,Brasília,1,Queiroz,7.1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0,0
19,Minas,Brasília,1,Equipe,0.0,90,175,11,26,25,43,7,11,33,11,44,18,9,3,23.0,14.0,14,7
19,Brasília,Minas,2,Arthur,27.3,17,28,3,4,3,7,2,2,1,1,2,1,2,0,1.0,3.0,0,0
19,Brasília,Minas,2,Ronald,31.5,15,28,0,0,5,11,5,6,7,1,8,1,1,1,1.0,5.0,4,1
19,Brasília,Minas,2,José Carlos,14.0,7,15,1,3,1,2,2,2,2,0,2,0,0,0,1.0,4.0,1,0
19,Brasília,Minas,2,Gui Santos,29.9,6,24,1,5,1,3,1,3,5,0,5,2,3,0,1.0,3.0,3,0
19,Brasília,Minas,2,Rafa Moreira,19.3,6,20,2,6,0,1,0,0,2,1,3,1,0,0,4.0,1.0,2,0
19,Brasília,Minas,2,Pedrinho Rava,18.6,5,15,0,1,1,3,3,6,1,1,2,4,3,0,2.0,5.0,2,0
19,Brasília,Minas,2,Nezinho,25.8,2,12,0,3,1,1,0,1,0,0,0,4,0,0,3.0,0.0,7,0
19,Brasília,Minas,2,Marcelão,13.7,2,4,0,0,1,2,0,0,3,0,3,0,0,0,2.0,1.0,0,0
19,Brasília,Minas,2,Gui Bento,9.6,0,8,0,2,0,1,0,0,1,0,1,0,0,1,0.0,0.0,0,0
19,Brasília,Minas,2,Gabriel,6.7,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0
19,Brasília,Minas,2,Equipe,0.0,60,160,7,26,13,31,13,20,25,7,32,14,9,2,16.0,22.0,19,1
