Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
19,Rio Claro,Basq. Cearense,1,Baxley,25.5,25,32,2,3,6,8,7,7,1,0,1,2,1,0,3.0,5.0,1,0
19,Rio Claro,Basq. Cearense,1,Ansaloni,29.6,20,39,1,6,8,10,1,1,10,1,11,2,1,0,5.0,3.0,3,0
19,Rio Claro,Basq. Cearense,1,Enzo,33.9,16,28,4,8,0,0,4,4,4,0,4,3,1,0,3.0,6.0,2,0
19,Rio Claro,Basq. Cearense,1,Gerson,28.4,10,20,0,0,5,10,0,0,4,1,5,2,1,1,4.0,2.0,1,1
19,Rio Claro,Basq. Cearense,1,Figueroa,35.2,8,12,0,1,3,3,2,3,3,0,3,10,0,0,4.0,3.0,6,0
19,Rio Claro,Basq. Cearense,1,Pastor,22.8,3,16,1,4,0,2,0,0,0,2,2,1,1,0,0.0,1.0,1,0
19,Rio Claro,Basq. Cearense,1,Lucão,11.0,2,2,0,0,0,0,2,2,2,3,5,0,0,0,4.0,1.0,1,0
19,Rio Claro,Basq. Cearense,1,Pedro,10.7,2,4,0,0,1,2,0,0,3,0,3,0,0,0,1.0,0.0,3,0
19,Rio Claro,Basq. Cearense,1,Dhomini,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Rio Claro,Basq. Cearense,1,Bruno,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Rio Claro,Basq. Cearense,1,Augusto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Rio Claro,Basq. Cearense,1,Equipe,0.0,86,153,8,22,23,35,16,17,28,7,35,20,5,1,25.0,21.0,18,1
19,Basq. Cearense,Rio Claro,2,Brite,35.6,19,31,2,4,4,7,5,5,1,0,1,4,4,0,4.0,3.0,2,0
19,Basq. Cearense,Rio Claro,2,Alex,31.2,15,31,2,5,2,4,5,8,1,1,2,0,0,0,4.0,6.0,2,0
19,Basq. Cearense,Rio Claro,2,Sualisson,35.1,13,32,0,4,4,7,5,6,3,4,7,1,1,1,4.0,5.0,2,0
19,Basq. Cearense,Rio Claro,2,Cauê,30.4,11,24,2,4,1,4,3,4,3,1,4,4,4,0,4.0,5.0,1,0
19,Basq. Cearense,Rio Claro,2,Davis,21.5,10,15,2,3,0,1,4,4,3,0,3,2,4,0,2.0,2.0,1,0
19,Basq. Cearense,Rio Claro,2,Mathias,34.3,10,23,0,1,4,9,2,2,4,1,5,2,0,0,3.0,2.0,2,1
19,Basq. Cearense,Rio Claro,2,Rashaun,10.0,1,9,0,1,0,2,1,2,1,1,2,0,1,0,0.0,1.0,1,0
19,Basq. Cearense,Rio Claro,2,Bruninho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Basq. Cearense,Rio Claro,2,Gabriel,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Basq. Cearense,Rio Claro,2,Armani,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Basq. Cearense,Rio Claro,2,Equipe,0.0,79,165,8,22,15,34,25,31,18,8,26,13,14,1,21.0,24.0,12,1
