Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
19,Mogi,Paulistano,1,Fuzaro,36.6,26,45,1,6,7,9,9,9,2,1,3,1,2,0,3.0,9.0,1,1
19,Mogi,Paulistano,1,André Goes,33.7,20,38,3,5,3,8,5,7,0,3,3,2,2,0,3.0,4.0,0,0
19,Mogi,Paulistano,1,Alexey,24.7,11,27,1,5,3,5,2,2,0,1,1,5,0,0,2.0,1.0,1,0
19,Mogi,Paulistano,1,Paranhos,17.1,8,16,0,0,3,7,2,2,2,4,6,0,2,0,4.0,2.0,2,0
19,Mogi,Paulistano,1,João Pedro,13.7,7,12,1,2,2,3,0,0,2,1,3,0,0,0,1.0,0.0,1,1
19,Mogi,Paulistano,1,Fúlvio,35.2,6,24,2,8,0,0,0,0,1,0,1,5,0,0,4.0,4.0,1,0
19,Mogi,Paulistano,1,Fabricio,29.7,3,25,1,7,0,2,0,0,1,1,2,1,1,0,4.0,2.0,2,0
19,Mogi,Paulistano,1,Alex,2.2,2,5,0,1,1,1,0,0,0,0,0,0,0,0,1.0,0.0,0,0
19,Mogi,Paulistano,1,Guga,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Mogi,Paulistano,1,Colina,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Mogi,Paulistano,1,F Cardoso,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Mogi,Paulistano,1,Lessa,2.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0
19,Mogi,Paulistano,1,Equipe,0.0,83,192,9,34,19,35,18,20,13,13,26,15,7,0,22.0,22.0,9,2
19,Paulistano,Mogi,2,Yago,31.2,19,34,3,7,1,2,8,9,1,3,4,6,1,0,3.0,7.0,5,0
19,Paulistano,Mogi,2,Dikembe,16.7,14,18,0,0,7,8,0,2,2,2,4,0,1,0,1.0,3.0,2,1
19,Paulistano,Mogi,2,Vitão,33.0,14,27,2,5,4,6,0,0,1,2,3,3,0,1,1.0,0.0,2,0
19,Paulistano,Mogi,2,D. Coleman,23.6,13,22,1,4,5,5,0,0,0,4,4,2,1,0,4.0,2.0,0,1
19,Paulistano,Mogi,2,Maique,20.1,10,10,0,0,4,4,2,2,1,7,8,2,0,2,4.0,3.0,1,1
19,Paulistano,Mogi,2,Anderson,15.2,9,15,1,3,0,0,6,6,0,4,4,1,0,0,2.0,3.0,1,0
19,Paulistano,Mogi,2,Solano,34.6,8,17,0,1,3,6,2,2,1,4,5,7,1,0,3.0,3.0,5,0
19,Paulistano,Mogi,2,Eddy,23.3,5,11,1,3,1,1,0,0,0,1,1,1,0,0,3.0,1.0,0,0
19,Paulistano,Mogi,2,Rafael,2.1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1.0,0.0,0,0
19,Paulistano,Mogi,2,Buiú,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Paulistano,Mogi,2,Daniel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Paulistano,Mogi,2,Equipe,0.0,94,156,8,23,26,33,18,21,9,28,37,22,4,3,22.0,22.0,16,3
