Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
19,Corinthians,UNIFACISA,1,Robinson,20.5,21,26,1,2,5,6,8,8,3,1,4,1,0,0,1.0,7.0,0,0
19,Corinthians,UNIFACISA,1,Fischer,21.1,14,21,0,1,7,8,0,2,0,1,1,0,1,0,3.0,3.0,2,0
19,Corinthians,UNIFACISA,1,Vezaro,19.7,12,15,1,1,3,4,3,4,2,2,4,1,1,0,1.0,2.0,1,0
19,Corinthians,UNIFACISA,1,Nesbitt,23.4,10,15,2,3,1,2,2,2,1,2,3,2,1,0,1.0,3.0,3,0
19,Corinthians,UNIFACISA,1,Johnson,15.7,9,15,0,0,3,4,3,7,4,0,4,2,1,0,2.0,6.0,1,0
19,Corinthians,UNIFACISA,1,Fuller,17.7,9,21,1,2,2,5,2,5,2,0,2,3,3,0,2.0,3.0,0,0
19,Corinthians,UNIFACISA,1,Wesley,19.3,6,18,0,2,3,6,0,0,1,1,2,0,0,1,3.0,0.0,0,0
19,Corinthians,UNIFACISA,1,Pecos,21.9,6,23,0,1,1,7,4,6,2,0,2,1,1,0,0.0,3.0,1,0
19,Corinthians,UNIFACISA,1,Humberto,19.2,2,2,0,0,1,1,0,0,1,2,3,2,1,0,4.0,0.0,1,0
19,Corinthians,UNIFACISA,1,Teichmann,18.4,2,6,0,0,1,3,0,0,4,0,4,1,1,1,4.0,0.0,1,0
19,Corinthians,UNIFACISA,1,Douglas Santos,3.1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,2,0
19,Corinthians,UNIFACISA,1,Dalaqua,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Corinthians,UNIFACISA,1,Equipe,0.0,91,164,5,12,27,46,22,34,22,11,33,13,11,2,23.0,27.0,13,0
19,UNIFACISA,Corinthians,2,Gemerson,25.2,19,29,2,4,6,8,1,1,3,2,5,1,2,0,4.0,1.0,2,1
19,UNIFACISA,Corinthians,2,Barnes,30.0,12,27,1,3,4,8,1,2,1,0,1,5,0,0,4.0,2.0,5,0
19,UNIFACISA,Corinthians,2,Douglas Nunes,25.3,11,24,1,4,3,5,2,2,5,2,7,5,1,0,2.0,2.0,2,0
19,UNIFACISA,Corinthians,2,João Vitor,23.1,10,22,0,1,4,7,2,3,7,1,8,0,0,3,3.0,2.0,3,2
19,UNIFACISA,Corinthians,2,Gabriel,24.9,8,17,0,2,3,4,2,3,0,1,1,0,1,0,4.0,2.0,1,0
19,UNIFACISA,Corinthians,2,Spencer,14.3,6,16,0,3,1,1,4,5,2,0,2,0,1,0,4.0,7.0,1,0
19,UNIFACISA,Corinthians,2,Antonio,10.6,4,6,0,0,2,3,0,0,0,0,0,1,0,0,0.0,0.0,1,0
19,UNIFACISA,Corinthians,2,Gemadinha,24.2,3,15,1,3,0,3,0,0,0,1,1,0,0,0,2.0,3.0,1,0
19,UNIFACISA,Corinthians,2,Miller,12.2,2,5,0,1,1,1,0,0,1,0,1,1,0,0,3.0,1.0,0,0
19,UNIFACISA,Corinthians,2,Pezão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,UNIFACISA,Corinthians,2,Pepo Vidal,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,UNIFACISA,Corinthians,2,Nicolas Ronsini,10.2,0,3,0,1,0,0,0,0,2,0,2,2,0,0,1.0,2.0,2,0
19,UNIFACISA,Corinthians,2,Equipe,0.0,75,164,5,22,24,40,12,16,21,12,33,15,5,3,27.0,22.0,18,3
